"sentence","event_type"
"Operation Summer '95 was launched in response to the resumption of attacks by the VRS and the RSK military on the Bihać pocketone of six United Nations Safe Areas established in Bosnia and Herzegovina.","Attack"
"""Unfinished Business"" debuted at number one on the U.S. ""Billboard"" 200 chart amid controversy and criticism.","None"
"Seven of the Blues & Royals' horses also died in the attack.","Attack"
"The genocide was carried out during and after World War I and implemented in two phases—the wholesale killing of the able-bodied male population through massacre and subjection of army conscripts to forced labour, followed by the deportation of women, children, the elderly, and the infirm on death marches leading to the Syrian Desert.","Injury"
"As of January 2014, there has been no evidence of sustained human-to-human transmission; however, a study group headed by one of the world’s leading experts on avian flu reported that several instances of human-to-human infection are suspected.","Investigation"
"On 6 September 2013, the United States Senate filed a resolution to authorize use of military force against the Syrian military in response to the Ghouta attack.","Attack"
"On the first night of the war a USAF EF-111A Raven ""Spark Vark"", flown by pilot Captain James Denton and Electronic Warfare Officer (EWO) Captain Brent Brandon, was on an electronic warfare mission ahead of a group of jets on a bombing run.","Attack"
"Amorium was systematically destroyed, never to recover its former prosperity.","Disaster"
"21 Sikh soldiers fought on behalf of the British Indian Army against 10,000 Pashtun Orakzai tribesmen.","Attack"
"Genesis (2005) was a professional wrestling pay-per-view (PPV) event produced by Total Nonstop Action Wrestling (TNA) promotion that took place on November 13, 2005 at the Impact Zone in Orlando, Florida.","None"
"The trial resulted in a guilty verdict, and the findings of the Trial Chamber regarding Kijevo, made in 2007, were confirmed by the ICTY Appeals Chamber in 2008, based on witness testimonies about it being ethnic cleansing.","Investigation"
"They also won two of their three matches against South Africa, thereby winning the Freedom Cup for the first time.","None"
"Blake's attack on Suchet's right flank went awry and soon the poorly-trained Spanish troops were fleeing.","Attack"
"The event's roots are traced to 1886 when the Calgary and District Agricultural Society held its first fair.","Investigation"
"The attack was preceded by two hours of shelling by 152 mm artillery, during which helicopters were circling overhead the village and machine-gunning those that tried to escape.","Attack"
"It features artists simultaneously performing on a main stage as well as four standing-room only superlounge stages.","None"
"The 3rd Light Horse Brigade remained in the area to garrison Jenin until they advanced to capture Tiberias on 25 September 1918, before participating in the pursuit to Damascus.","None"
"The rebels all went home before the arrival of the army, and there was no confrontation.","Attack"
"One person died; 31-year-old Polish dad-of-one Przemyslaw Jablonski.","Injury"
"The 1953 North Sea flood was a major flood caused by a heavy storm that occurred on the night of Saturday, 31 January 1953 and morning of Sunday, 1 February 1953.","Disaster"
"Five people were confirmed dead as a direct result of the flooding and over 100,000 people were displaced throughout the region.","Investigation"
"However, it gradually intensified, and reach hurricane strength south of Jamaica on August 25 before coming ashore the Yucatán Peninsula late on August 27.","None"
"On the first day of battle, they were opposed by several conventional, wooden-hulled ships of the Union Navy.","Attack"
"After limited campaigning and the siege of Wallingford, Stephen and Henry agreed a negotiated peace, the Treaty of Wallingford, in which Stephen recognised Henry as his heir.","None"
"Due to the sporadic cases of violence present at the protests, the government had the police and paramilitary Basij violently suppress them; protesters were beaten, pepper sprayed, arrested and tortured, and even shot in some cases.","Injury"
"Three people injured: two Belgians and a Hungarian.","Injury"
"The search for the missing airplane, which became the most costly in aviation history, focused initially on the South China and Andaman seas, before analysis of the aircraft's automated communications with an Inmarsat satellite identified a possible crash site somewhere in the southern Indian Ocean.","Investigation"
"The explosion killed the Moldovan tennis federation chief, Igor Turcan.","Attack"
"Eight of the men were killed and the rest were wounded.","Injury"
"Advisories also had to be cleared through the Weather Bureau office in New Orleans, resulting in late releases.","None"
"French dragoons supported by infantry and commanded by General Exelmans destroyed a Prussian brigade of hussars under the command of Lieutenant Colonel Eston von Sohr (who was severely wounded and taken prisoner during the skirmish).","Disaster"
"While the NTSB's report stated the impact was ""a result of the relief first officer's flight control inputs"", the report did not determine a specific reason for the relief first officer's alleged actions.","Protest"
